Ngày; close 
10/12/2018;922,82
11/12/2018;922,34
12/12/2018;927,7
13/12/2018;928,9
14/12/2018;918,79
17/12/2018;901,41
18/12/2018;890,68
19/12/2018;882,79
20/12/2018;877,03
21/12/2018;873,09
24/12/2018;873,64
25/12/2018;865,69
26/12/2018;861,02
27/12/2018;865,45
28/12/2018;854,99
02/01/2019;855,66
03/01/2019;838,79
04/01/2019;840,17
07/01/2019;851,41
08/01/2019;845,43
09/01/2019;855,51
10/01/2019;857,95
11/01/2019;860,3
14/01/2019;859,42
15/01/2019;865,1
16/01/2019;864,29
17/01/2019;853,34
18/01/2019;854,79
21/01/2019;864,1
22/01/2019;859,17
23/01/2019;861,73
24/01/2019;865,52
25/01/2019;867,7
28/01/2019;868,76
29/01/2019;872,03
30/01/2019;869,16
31/01/2019;866,06
01/02/2019;859,81
11/02/2019;878,67
12/02/2019;888,33
13/02/2019;897,42
14/02/2019;900,12
15/02/2019;897,74
18/02/2019;904,93
19/02/2019;907,82
20/02/2019;911,8
21/02/2019;926,09
22/02/2019;929,5
25/02/2019;939,47
26/02/2019;929,51
27/02/2019;930,54
28/02/2019;904,98
01/03/2019;915,32
04/03/2019;928,42
05/03/2019;923,66
06/03/2019;923,58
07/03/2019;922,29
08/03/2019;914,74
11/03/2019;916,24
12/03/2019;929,86
13/03/2019;935,41
14/03/2019;934,42
15/03/2019;927,06
18/03/2019;932,75
19/03/2019;927,56
20/03/2019;924,12
21/03/2019;907,87
22/03/2019;912,27
25/03/2019;893,4
26/03/2019;894,58
27/03/2019;901,76
28/03/2019;901,65
29/03/2019;900,13
01/04/2019;905,87
02/04/2019;903,59
03/04/2019;901,5
04/04/2019;904,33
05/04/2019;904,69
08/04/2019;906,55
09/04/2019;900,07
10/04/2019;893,19
11/04/2019;896,04
12/04/2019;893,1
16/04/2019;887,76
17/04/2019;885,66
18/04/2019;877,02
19/04/2019;880,52
22/04/2019;878,23
23/04/2019;878,29
24/04/2019;888,65
25/04/2019;885,65
26/04/2019;890,55
02/05/2019;893,87
03/05/2019;895,42
06/05/2019;878,8
